Населба,Квадратура,Соби,Спрат,Лифт,Греење,Паркинг,Цена (EUR)
5.0,35.0,2.0,3,-1.0,-1.0,-1.0,30000.0
8.0,60.0,2.0,4,-1.0,-1.0,-1.0,47000.0
26.0,67.0,3.0,1,-1.0,1.0,1.0,47000.0
8.0,93.0,3.0,7,1.0,1.0,1.0,102000.0
4.0,136.0,4.0,1,-1.0,1.0,1.0,130000.0
2.0,72.0,3.0,3,1.0,-1.0,-1.0,79200.0
10.0,60.0,3.0,0,-1.0,1.0,1.0,54000.0
1.0,51.0,1.0,3,-1.0,-1.0,-1.0,40000.0
2.0,94.0,3.0,3,1.0,1.0,1.0,86000.0
16.0,37.0,2.0,10,-1.0,1.0,-1.0,35000.0
8.0,157.0,4.0,3,-1.0,-1.0,-1.0,152400.0
8.0,74.0,3.0,6,1.0,1.0,-1.0,86800.0
8.0,60.0,3.0,1,-1.0,-1.0,-1.0,70000.0
4.0,76.0,3.0,2,-1.0,-1.0,-1.0,96520.0
15.0,80.0,3.0,3,-1.0,-1.0,-1.0,84000.0
5.0,56.0,2.0,4,-1.0,-1.0,-1.0,48000.0
33.0,66.0,4.0,5,-1.0,-1.0,-1.0,50000.0
5.0,116.0,4.0,10,-1.0,1.0,-1.0,237400.0
33.0,82.0,3.0,3,-1.0,-1.0,-1.0,74000.0
7.0,60.0,2.0,1,-1.0,1.0,-1.0,57000.0
24.0,54.0,2.0,0,-1.0,-1.0,-1.0,24000.0
2.0,67.0,3.0,9,-1.0,1.0,-1.0,59000.0
5.0,76.0,3.0,5,1.0,1.0,1.0,69000.0
8.0,62.0,0.0,4,1.0,1.0,-1.0,82100.0
8.0,38.0,2.0,0,-1.0,1.0,-1.0,46000.0
8.0,54.0,2.0,6,-1.0,1.0,-1.0,81800.0
33.0,47.0,2.0,3,1.0,1.0,1.0,49000.0
24.0,55.0,2.0,3,-1.0,-1.0,-1.0,31000.0
6.0,52.0,2.0,3,-1.0,-1.0,-1.0,41000.0
2.0,55.0,2.0,2,-1.0,1.0,-1.0,67900.0
29.0,59.0,3.0,3,-1.0,-1.0,-1.0,72000.0
2.0,80.0,3.0,1,-1.0,1.0,1.0,74500.0
5.0,61.0,0.0,3,1.0,1.0,1.0,66000.0
34.0,69.0,0.0,3,1.0,1.0,1.0,76000.0
3.0,74.0,3.0,3,1.0,-1.0,1.0,70300.0
6.0,61.0,0.0,4,-1.0,1.0,1.0,51000.0
7.0,55.0,0.0,1,-1.0,-1.0,-1.0,64500.0
5.0,88.0,3.0,4,-1.0,1.0,1.0,72000.0
7.0,84.0,0.0,1,-1.0,-1.0,-1.0,95000.0
2.0,86.0,4.0,6,1.0,-1.0,-1.0,99000.0
25.0,69.0,0.0,2,-1.0,-1.0,-1.0,45000.0
1.0,71.0,3.0,4,-1.0,-1.0,-1.0,65000.0
2.0,37.0,2.0,8,-1.0,1.0,-1.0,43000.0
8.0,48.0,2.0,2,-1.0,1.0,1.0,83800.0
6.0,70.0,4.0,3,-1.0,-1.0,-1.0,75000.0
6.0,55.0,3.0,4,-1.0,-1.0,-1.0,55000.0
6.0,76.0,3.0,3,-1.0,-1.0,-1.0,72000.0
3.0,65.0,3.0,8,-1.0,-1.0,-1.0,63050.0
5.0,36.0,0.0,4,-1.0,-1.0,-1.0,36000.0
5.0,45.0,2.0,0,-1.0,1.0,-1.0,41000.0
20.0,50.0,2.0,6,1.0,-1.0,-1.0,49000.0
31.0,80.0,3.0,4,1.0,-1.0,-1.0,75000.0
8.0,43.0,2.0,2,1.0,-1.0,1.0,68400.0
5.0,58.0,3.0,6,1.0,1.0,1.0,52800.0
6.0,90.0,3.0,7,1.0,1.0,-1.0,91800.0
8.0,36.0,1.0,4,-1.0,-1.0,-1.0,43500.0
6.0,32.0,1.0,3,-1.0,1.0,-1.0,37000.0
8.0,76.0,0.0,4,-1.0,-1.0,-1.0,85500.0
6.0,52.0,2.0,3,-1.0,-1.0,-1.0,41000.0
1.0,41.0,2.0,3,-1.0,-1.0,-1.0,30000.0
2.0,45.0,1.0,5,-1.0,1.0,-1.0,43000.0
5.0,54.0,1.0,4,-1.0,1.0,1.0,51000.0
5.0,59.0,3.0,2,1.0,-1.0,-1.0,71500.0
5.0,76.0,3.0,5,1.0,1.0,1.0,69000.0
25.0,56.0,2.0,2,-1.0,1.0,-1.0,39000.0
1.0,58.0,2.0,3,1.0,-1.0,-1.0,46000.0
2.0,65.0,0.0,6,-1.0,1.0,-1.0,63000.0
13.0,88.0,3.0,2,-1.0,-1.0,-1.0,92400.0
8.0,55.0,3.0,1,-1.0,-1.0,-1.0,13750.0
2.0,78.0,3.0,5,1.0,1.0,-1.0,66300.0
33.0,66.0,4.0,5,-1.0,-1.0,-1.0,50000.0
34.0,64.0,0.0,1,-1.0,-1.0,-1.0,70400.0
8.0,40.0,2.0,6,-1.0,-1.0,-1.0,46000.0
8.0,72.0,3.0,3,1.0,1.0,1.0,91800.0
7.0,129.0,4.0,0,-1.0,1.0,1.0,128520.0
8.0,76.0,3.0,4,-1.0,-1.0,-1.0,76000.0
1.0,40.0,2.0,4,-1.0,-1.0,-1.0,34000.0
7.0,77.0,4.0,0,-1.0,-1.0,1.0,91000.0
5.0,54.0,2.0,4,-1.0,1.0,1.0,48500.0
6.0,173.0,3.0,6,1.0,1.0,-1.0,150000.0
29.0,102.0,4.0,1,-1.0,1.0,1.0,119700.0
8.0,28.0,0.0,-1,-1.0,-1.0,-1.0,29000.0
10.0,82.0,3.0,4,-1.0,1.0,-1.0,65000.0
8.0,60.0,3.0,3,-1.0,-1.0,-1.0,84000.0
5.0,76.0,3.0,5,1.0,1.0,1.0,69000.0
20.0,48.0,2.0,5,1.0,1.0,-1.0,52550.0
6.0,86.0,3.0,0,-1.0,1.0,-1.0,73440.0
8.0,83.0,3.0,2,-1.0,-1.0,-1.0,80000.0
5.0,27.0,2.0,1,1.0,-1.0,-1.0,30300.0
33.0,66.0,4.0,5,-1.0,-1.0,-1.0,50000.0
5.0,54.0,2.0,2,-1.0,-1.0,-1.0,57000.0
33.0,47.0,0.0,3,1.0,1.0,1.0,49000.0
20.0,100.0,2.0,5,1.0,1.0,-1.0,97000.0
8.0,72.0,3.0,3,1.0,1.0,-1.0,95000.0
6.0,113.0,3.0,2,1.0,1.0,-1.0,130000.0
6.0,75.0,2.0,2,1.0,1.0,-1.0,80000.0
2.0,100.0,4.0,0,-1.0,1.0,-1.0,91800.0
6.0,78.0,3.0,4,-1.0,1.0,-1.0,115000.0
3.0,76.0,3.0,3,-1.0,-1.0,-1.0,72000.0
20.0,70.0,4.0,1,-1.0,-1.0,-1.0,75000.0
3.0,97.0,3.0,3,1.0,1.0,1.0,86700.0
11.0,42.0,0.0,0,-1.0,-1.0,-1.0,27000.0
34.0,81.0,3.0,2,1.0,1.0,-1.0,78550.0
19.0,26.0,0.0,0,-1.0,1.0,-1.0,19700.0
34.0,69.0,3.0,0,-1.0,1.0,-1.0,70400.0
34.0,56.0,2.0,4,1.0,1.0,-1.0,60000.0
33.0,42.0,2.0,7,1.0,1.0,1.0,44000.0
8.0,99.0,4.0,2,-1.0,1.0,-1.0,90900.0
32.0,64.0,0.0,4,-1.0,-1.0,-1.0,42000.0
3.0,45.0,2.0,3,-1.0,-1.0,-1.0,41850.0
31.0,59.0,3.0,3,-1.0,-1.0,-1.0,70800.0
5.0,56.0,2.0,7,1.0,1.0,-1.0,50000.0
5.0,53.0,2.0,4,-1.0,-1.0,1.0,56000.0
3.0,80.0,3.0,1,-1.0,1.0,-1.0,70000.0
8.0,84.0,3.0,3,1.0,1.0,1.0,102000.0
30.0,82.0,3.0,1,-1.0,-1.0,-1.0,60000.0
2.0,72.0,2.0,10,-1.0,1.0,-1.0,63000.0
2.0,78.0,3.0,11,-1.0,1.0,-1.0,85000.0
33.0,66.0,2.0,8,-1.0,-1.0,-1.0,63000.0
5.0,30.0,2.0,1,1.0,-1.0,-1.0,33700.0
26.0,55.0,3.0,1,-1.0,-1.0,-1.0,39300.0
29.0,55.0,0.0,3,-1.0,1.0,-1.0,68900.0
29.0,75.0,0.0,1,-1.0,1.0,-1.0,83400.0
34.0,86.0,4.0,3,-1.0,1.0,-1.0,91300.0
4.0,74.0,0.0,1,-1.0,-1.0,-1.0,82300.0
5.0,56.0,2.0,2,-1.0,1.0,-1.0,48600.0
2.0,81.0,2.0,5,-1.0,1.0,-1.0,59400.0
3.0,75.0,3.0,6,1.0,1.0,-1.0,72000.0
8.0,94.0,0.0,1,-1.0,-1.0,-1.0,89300.0
34.0,59.0,0.0,3,1.0,1.0,-1.0,73000.0
7.0,25.0,1.0,3,-1.0,-1.0,-1.0,30000.0
8.0,56.0,2.0,3,-1.0,-1.0,-1.0,64400.0
2.0,42.0,2.0,4,-1.0,-1.0,-1.0,46200.0
2.0,68.0,4.0,8,-1.0,-1.0,-1.0,63000.0
6.0,34.0,1.0,3,-1.0,-1.0,-1.0,37400.0
1.0,43.0,2.0,5,-1.0,-1.0,-1.0,38000.0
10.0,58.0,3.0,3,-1.0,-1.0,-1.0,44000.0
31.0,50.0,2.0,6,1.0,1.0,1.0,61000.0
